Provincia de procedencia;Relación entre procedencia y destino;Nacionalidad;Sexo;Total
Total procedencia;Total;Total;Total;1.479.117
Total procedencia;Total;Total;Hombres;744.269
Total procedencia;Total;Total;Mujeres;734.848
Total procedencia;Total;Españoles;Total;1.165.795
Total procedencia;Total;Españoles;Hombres;582.774
Total procedencia;Total;Españoles;Mujeres;583.021
Total procedencia;Total;Extranjeros;Total;313.322
Total procedencia;Total;Extranjeros;Hombres;161.495
Total procedencia;Total;Extranjeros;Mujeres;151.827
Total procedencia;A la misma provincia;Total;Total;888.225
Total procedencia;A la misma provincia;Total;Hombres;440.801
Total procedencia;A la misma provincia;Total;Mujeres;447.424
Total procedencia;A la misma provincia;Españoles;Total;711.817
Total procedencia;A la misma provincia;Españoles;Hombres;353.419
Total procedencia;A la misma provincia;Españoles;Mujeres;358.398
Total procedencia;A la misma provincia;Extranjeros;Total;176.408
Total procedencia;A la misma provincia;Extranjeros;Hombres;87.382
Total procedencia;A la misma provincia;Extranjeros;Mujeres;89.026
Total procedencia;A otras provincias;Total;Total;590.892
Total procedencia;A otras provincias;Total;Hombres;303.468
Total procedencia;A otras provincias;Total;Mujeres;287.424
Total procedencia;A otras provincias;Españoles;Total;453.978
Total procedencia;A otras provincias;Españoles;Hombres;229.355
Total procedencia;A otras provincias;Españoles;Mujeres;224.623
Total procedencia;A otras provincias;Extranjeros;Total;136.914
Total procedencia;A otras provincias;Extranjeros;Hombres;74.113
Total procedencia;A otras provincias;Extranjeros;Mujeres;62.801
Albacete;Total;Total;Total;9.746
Albacete;Total;Total;Hombres;4.906
Albacete;Total;Total;Mujeres;4.840
Albacete;Total;Españoles;Total;7.724
Albacete;Total;Españoles;Hombres;3.805
Albacete;Total;Españoles;Mujeres;3.919
Albacete;Total;Extranjeros;Total;2.022
Albacete;Total;Extranjeros;Hombres;1.101
Albacete;Total;Extranjeros;Mujeres;921
Albacete;A la misma provincia;Total;Total;3.243
Albacete;A la misma provincia;Total;Hombres;1.592
Albacete;A la misma provincia;Total;Mujeres;1.651
Albacete;A la misma provincia;Españoles;Total;2.815
Albacete;A la misma provincia;Españoles;Hombres;1.392
Albacete;A la misma provincia;Españoles;Mujeres;1.423
Albacete;A la misma provincia;Extranjeros;Total;428
Albacete;A la misma provincia;Extranjeros;Hombres;200
Albacete;A la misma provincia;Extranjeros;Mujeres;228
Albacete;A otras provincias;Total;Total;6.503
Albacete;A otras provincias;Total;Hombres;3.314
Albacete;A otras provincias;Total;Mujeres;3.189
Albacete;A otras provincias;Españoles;Total;4.909
Albacete;A otras provincias;Españoles;Hombres;2.413
Albacete;A otras provincias;Españoles;Mujeres;2.496
Albacete;A otras provincias;Extranjeros;Total;1.594
Albacete;A otras provincias;Extranjeros;Hombres;901
Albacete;A otras provincias;Extranjeros;Mujeres;693
Alicante/Alacant;Total;Total;Total;60.047
Alicante/Alacant;Total;Total;Hombres;30.389
Alicante/Alacant;Total;Total;Mujeres;29.658
Alicante/Alacant;Total;Españoles;Total;41.729
Alicante/Alacant;Total;Españoles;Hombres;20.711
Alicante/Alacant;Total;Españoles;Mujeres;21.018
Alicante/Alacant;Total;Extranjeros;Total;18.318
Alicante/Alacant;Total;Extranjeros;Hombres;9.678
Alicante/Alacant;Total;Extranjeros;Mujeres;8.640
Alicante/Alacant;A la misma provincia;Total;Total;35.769
Alicante/Alacant;A la misma provincia;Total;Hombres;17.915
Alicante/Alacant;A la misma provincia;Total;Mujeres;17.854
Alicante/Alacant;A la misma provincia;Españoles;Total;25.096
Alicante/Alacant;A la misma provincia;Españoles;Hombres;12.478
Alicante/Alacant;A la misma provincia;Españoles;Mujeres;12.618
Alicante/Alacant;A la misma provincia;Extranjeros;Total;10.673
Alicante/Alacant;A la misma provincia;Extranjeros;Hombres;5.437
Alicante/Alacant;A la misma provincia;Extranjeros;Mujeres;5.236
Alicante/Alacant;A otras provincias;Total;Total;24.278
Alicante/Alacant;A otras provincias;Total;Hombres;12.474
Alicante/Alacant;A otras provincias;Total;Mujeres;11.804
Alicante/Alacant;A otras provincias;Españoles;Total;16.633
Alicante/Alacant;A otras provincias;Españoles;Hombres;8.233
Alicante/Alacant;A otras provincias;Españoles;Mujeres;8.400
Alicante/Alacant;A otras provincias;Extranjeros;Total;7.645
Alicante/Alacant;A otras provincias;Extranjeros;Hombres;4.241
Alicante/Alacant;A otras provincias;Extranjeros;Mujeres;3.404
Almería;Total;Total;Total;23.153
Almería;Total;Total;Hombres;12.008
Almería;Total;Total;Mujeres;11.145
Almería;Total;Españoles;Total;16.371
Almería;Total;Españoles;Hombres;8.089
Almería;Total;Españoles;Mujeres;8.282
Almería;Total;Extranjeros;Total;6.782
Almería;Total;Extranjeros;Hombres;3.919
Almería;Total;Extranjeros;Mujeres;2.863
Almería;A la misma provincia;Total;Total;13.393
Almería;A la misma provincia;Total;Hombres;6.780
Almería;A la misma provincia;Total;Mujeres;6.613
Almería;A la misma provincia;Españoles;Total;9.799
Almería;A la misma provincia;Españoles;Hombres;4.754
Almería;A la misma provincia;Españoles;Mujeres;5.045
Almería;A la misma provincia;Extranjeros;Total;3.594
Almería;A la misma provincia;Extranjeros;Hombres;2.026
Almería;A la misma provincia;Extranjeros;Mujeres;1.568
Almería;A otras provincias;Total;Total;9.760
Almería;A otras provincias;Total;Hombres;5.228
Almería;A otras provincias;Total;Mujeres;4.532
Almería;A otras provincias;Españoles;Total;6.572
Almería;A otras provincias;Españoles;Hombres;3.335
Almería;A otras provincias;Españoles;Mujeres;3.237
Almería;A otras provincias;Extranjeros;Total;3.188
Almería;A otras provincias;Extranjeros;Hombres;1.893
Almería;A otras provincias;Extranjeros;Mujeres;1.295
Araba/Álava;Total;Total;Total;7.278
Araba/Álava;Total;Total;Hombres;3.769
Araba/Álava;Total;Total;Mujeres;3.509
Araba/Álava;Total;Españoles;Total;5.693
Araba/Álava;Total;Españoles;Hombres;2.890
Araba/Álava;Total;Españoles;Mujeres;2.803
Araba/Álava;Total;Extranjeros;Total;1.585
Araba/Álava;Total;Extranjeros;Hombres;879
Araba/Álava;Total;Extranjeros;Mujeres;706
Araba/Álava;A la misma provincia;Total;Total;2.552
Araba/Álava;A la misma provincia;Total;Hombres;1.289
Araba/Álava;A la misma provincia;Total;Mujeres;1.263
Araba/Álava;A la misma provincia;Españoles;Total;2.076
Araba/Álava;A la misma provincia;Españoles;Hombres;1.042
Araba/Álava;A la misma provincia;Españoles;Mujeres;1.034
Araba/Álava;A la misma provincia;Extranjeros;Total;476
Araba/Álava;A la misma provincia;Extranjeros;Hombres;247
Araba/Álava;A la misma provincia;Extranjeros;Mujeres;229
Araba/Álava;A otras provincias;Total;Total;4.726
Araba/Álava;A otras provincias;Total;Hombres;2.480
Araba/Álava;A otras provincias;Total;Mujeres;2.246
Araba/Álava;A otras provincias;Españoles;Total;3.617
Araba/Álava;A otras provincias;Españoles;Hombres;1.848
Araba/Álava;A otras provincias;Españoles;Mujeres;1.769
Araba/Álava;A otras provincias;Extranjeros;Total;1.109
Araba/Álava;A otras provincias;Extranjeros;Hombres;632
Araba/Álava;A otras provincias;Extranjeros;Mujeres;477
Asturias;Total;Total;Total;24.953
Asturias;Total;Total;Hombres;12.316
Asturias;Total;Total;Mujeres;12.637
Asturias;Total;Españoles;Total;21.870
Asturias;Total;Españoles;Hombres;10.870
Asturias;Total;Españoles;Mujeres;11.000
Asturias;Total;Extranjeros;Total;3.083
Asturias;Total;Extranjeros;Hombres;1.446
Asturias;Total;Extranjeros;Mujeres;1.637
Asturias;A la misma provincia;Total;Total;15.342
Asturias;A la misma provincia;Total;Hombres;7.495
Asturias;A la misma provincia;Total;Mujeres;7.847
Asturias;A la misma provincia;Españoles;Total;13.905
Asturias;A la misma provincia;Españoles;Hombres;6.889
Asturias;A la misma provincia;Españoles;Mujeres;7.016
Asturias;A la misma provincia;Extranjeros;Total;1.437
Asturias;A la misma provincia;Extranjeros;Hombres;606
Asturias;A la misma provincia;Extranjeros;Mujeres;831
Asturias;A otras provincias;Total;Total;9.611
Asturias;A otras provincias;Total;Hombres;4.821
Asturias;A otras provincias;Total;Mujeres;4.790
Asturias;A otras provincias;Españoles;Total;7.965
Asturias;A otras provincias;Españoles;Hombres;3.981
Asturias;A otras provincias;Españoles;Mujeres;3.984
Asturias;A otras provincias;Extranjeros;Total;1.646
Asturias;A otras provincias;Extranjeros;Hombres;840
Asturias;A otras provincias;Extranjeros;Mujeres;806
Ávila;Total;Total;Total;5.492
Ávila;Total;Total;Hombres;2.698
Ávila;Total;Total;Mujeres;2.794
Ávila;Total;Españoles;Total;4.501
Ávila;Total;Españoles;Hombres;2.230
Ávila;Total;Españoles;Mujeres;2.271
Ávila;Total;Extranjeros;Total;991
Ávila;Total;Extranjeros;Hombres;468
Ávila;Total;Extranjeros;Mujeres;523
Ávila;A la misma provincia;Total;Total;1.361
Ávila;A la misma provincia;Total;Hombres;657
Ávila;A la misma provincia;Total;Mujeres;704
Ávila;A la misma provincia;Españoles;Total;1.166
Ávila;A la misma provincia;Españoles;Hombres;564
Ávila;A la misma provincia;Españoles;Mujeres;602
Ávila;A la misma provincia;Extranjeros;Total;195
Ávila;A la misma provincia;Extranjeros;Hombres;93
Ávila;A la misma provincia;Extranjeros;Mujeres;102
Ávila;A otras provincias;Total;Total;4.131
Ávila;A otras provincias;Total;Hombres;2.041
Ávila;A otras provincias;Total;Mujeres;2.090
Ávila;A otras provincias;Españoles;Total;3.335
Ávila;A otras provincias;Españoles;Hombres;1.666
Ávila;A otras provincias;Españoles;Mujeres;1.669
Ávila;A otras provincias;Extranjeros;Total;796
Ávila;A otras provincias;Extranjeros;Hombres;375
Ávila;A otras provincias;Extranjeros;Mujeres;421
Badajoz;Total;Total;Total;15.612
Badajoz;Total;Total;Hombres;7.787
Badajoz;Total;Total;Mujeres;7.825
Badajoz;Total;Españoles;Total;13.885
Badajoz;Total;Españoles;Hombres;6.978
Badajoz;Total;Españoles;Mujeres;6.907
Badajoz;Total;Extranjeros;Total;1.727
Badajoz;Total;Extranjeros;Hombres;809
Badajoz;Total;Extranjeros;Mujeres;918
Badajoz;A la misma provincia;Total;Total;6.667
Badajoz;A la misma provincia;Total;Hombres;3.225
Badajoz;A la misma provincia;Total;Mujeres;3.442
Badajoz;A la misma provincia;Españoles;Total;6.097
Badajoz;A la misma provincia;Españoles;Hombres;2.977
Badajoz;A la misma provincia;Españoles;Mujeres;3.120
Badajoz;A la misma provincia;Extranjeros;Total;570
Badajoz;A la misma provincia;Extranjeros;Hombres;248
Badajoz;A la misma provincia;Extranjeros;Mujeres;322
Badajoz;A otras provincias;Total;Total;8.945
Badajoz;A otras provincias;Total;Hombres;4.562
Badajoz;A otras provincias;Total;Mujeres;4.383
Badajoz;A otras provincias;Españoles;Total;7.788
Badajoz;A otras provincias;Españoles;Hombres;4.001
Badajoz;A otras provincias;Españoles;Mujeres;3.787
Badajoz;A otras provincias;Extranjeros;Total;1.157
Badajoz;A otras provincias;Extranjeros;Hombres;561
Badajoz;A otras provincias;Extranjeros;Mujeres;596
Balears, Illes;Total;Total;Total;46.577
Balears, Illes;Total;Total;Hombres;23.834
Balears, Illes;Total;Total;Mujeres;22.743
Balears, Illes;Total;Españoles;Total;35.719
Balears, Illes;Total;Españoles;Hombres;18.143
Balears, Illes;Total;Españoles;Mujeres;17.576
Balears, Illes;Total;Extranjeros;Total;10.858
Balears, Illes;Total;Extranjeros;Hombres;5.691
Balears, Illes;Total;Extranjeros;Mujeres;5.167
Balears, Illes;A la misma provincia;Total;Total;27.399
Balears, Illes;A la misma provincia;Total;Hombres;13.536
Balears, Illes;A la misma provincia;Total;Mujeres;13.863
Balears, Illes;A la misma provincia;Españoles;Total;20.507
Balears, Illes;A la misma provincia;Españoles;Hombres;10.119
Balears, Illes;A la misma provincia;Españoles;Mujeres;10.388
Balears, Illes;A la misma provincia;Extranjeros;Total;6.892
Balears, Illes;A la misma provincia;Extranjeros;Hombres;3.417
Balears, Illes;A la misma provincia;Extranjeros;Mujeres;3.475
Balears, Illes;A otras provincias;Total;Total;19.178
Balears, Illes;A otras provincias;Total;Hombres;10.298
Balears, Illes;A otras provincias;Total;Mujeres;8.880
Balears, Illes;A otras provincias;Españoles;Total;15.212
Balears, Illes;A otras provincias;Españoles;Hombres;8.024
Balears, Illes;A otras provincias;Españoles;Mujeres;7.188
Balears, Illes;A otras provincias;Extranjeros;Total;3.966
Balears, Illes;A otras provincias;Extranjeros;Hombres;2.274
Balears, Illes;A otras provincias;Extranjeros;Mujeres;1.692
Barcelona;Total;Total;Total;197.877
Barcelona;Total;Total;Hombres;99.680
Barcelona;Total;Total;Mujeres;98.197
Barcelona;Total;Españoles;Total;149.785
Barcelona;Total;Españoles;Hombres;74.602
Barcelona;Total;Españoles;Mujeres;75.183
Barcelona;Total;Extranjeros;Total;48.092
Barcelona;Total;Extranjeros;Hombres;25.078
Barcelona;Total;Extranjeros;Mujeres;23.014
Barcelona;A la misma provincia;Total;Total;148.152
Barcelona;A la misma provincia;Total;Hombres;74.264
Barcelona;A la misma provincia;Total;Mujeres;73.888
Barcelona;A la misma provincia;Españoles;Total;112.672
Barcelona;A la misma provincia;Españoles;Hombres;56.176
Barcelona;A la misma provincia;Españoles;Mujeres;56.496
Barcelona;A la misma provincia;Extranjeros;Total;35.480
Barcelona;A la misma provincia;Extranjeros;Hombres;18.088
Barcelona;A la misma provincia;Extranjeros;Mujeres;17.392
Barcelona;A otras provincias;Total;Total;49.725
Barcelona;A otras provincias;Total;Hombres;25.416
Barcelona;A otras provincias;Total;Mujeres;24.309
Barcelona;A otras provincias;Españoles;Total;37.113
Barcelona;A otras provincias;Españoles;Hombres;18.426
Barcelona;A otras provincias;Españoles;Mujeres;18.687
Barcelona;A otras provincias;Extranjeros;Total;12.612
Barcelona;A otras provincias;Extranjeros;Hombres;6.990
Barcelona;A otras provincias;Extranjeros;Mujeres;5.622
Bizkaia;Total;Total;Total;36.348
Bizkaia;Total;Total;Hombres;18.566
Bizkaia;Total;Total;Mujeres;17.782
Bizkaia;Total;Españoles;Total;28.310
Bizkaia;Total;Españoles;Hombres;14.292
Bizkaia;Total;Españoles;Mujeres;14.018
Bizkaia;Total;Extranjeros;Total;8.038
Bizkaia;Total;Extranjeros;Hombres;4.274
Bizkaia;Total;Extranjeros;Mujeres;3.764
Bizkaia;A la misma provincia;Total;Total;25.584
Bizkaia;A la misma provincia;Total;Hombres;12.989
Bizkaia;A la misma provincia;Total;Mujeres;12.595
Bizkaia;A la misma provincia;Españoles;Total;19.640
Bizkaia;A la misma provincia;Españoles;Hombres;9.843
Bizkaia;A la misma provincia;Españoles;Mujeres;9.797
Bizkaia;A la misma provincia;Extranjeros;Total;5.944
Bizkaia;A la misma provincia;Extranjeros;Hombres;3.146
Bizkaia;A la misma provincia;Extranjeros;Mujeres;2.798
Bizkaia;A otras provincias;Total;Total;10.764
Bizkaia;A otras provincias;Total;Hombres;5.577
Bizkaia;A otras provincias;Total;Mujeres;5.187
Bizkaia;A otras provincias;Españoles;Total;8.670
Bizkaia;A otras provincias;Españoles;Hombres;4.449
Bizkaia;A otras provincias;Españoles;Mujeres;4.221
Bizkaia;A otras provincias;Extranjeros;Total;2.094
Bizkaia;A otras provincias;Extranjeros;Hombres;1.128
Bizkaia;A otras provincias;Extranjeros;Mujeres;966
Burgos;Total;Total;Total;10.096
Burgos;Total;Total;Hombres;5.139
Burgos;Total;Total;Mujeres;4.957
Burgos;Total;Españoles;Total;8.257
Burgos;Total;Españoles;Hombres;4.214
Burgos;Total;Españoles;Mujeres;4.043
Burgos;Total;Extranjeros;Total;1.839
Burgos;Total;Extranjeros;Hombres;925
Burgos;Total;Extranjeros;Mujeres;914
Burgos;A la misma provincia;Total;Total;4.061
Burgos;A la misma provincia;Total;Hombres;2.076
Burgos;A la misma provincia;Total;Mujeres;1.985
Burgos;A la misma provincia;Españoles;Total;3.457
Burgos;A la misma provincia;Españoles;Hombres;1.792
Burgos;A la misma provincia;Españoles;Mujeres;1.665
Burgos;A la misma provincia;Extranjeros;Total;604
Burgos;A la misma provincia;Extranjeros;Hombres;284
Burgos;A la misma provincia;Extranjeros;Mujeres;320
Burgos;A otras provincias;Total;Total;6.035
Burgos;A otras provincias;Total;Hombres;3.063
Burgos;A otras provincias;Total;Mujeres;2.972
Burgos;A otras provincias;Españoles;Total;4.800
Burgos;A otras provincias;Españoles;Hombres;2.422
Burgos;A otras provincias;Españoles;Mujeres;2.378
Burgos;A otras provincias;Extranjeros;Total;1.235
Burgos;A otras provincias;Extranjeros;Hombres;641
Burgos;A otras provincias;Extranjeros;Mujeres;594
Cáceres;Total;Total;Total;11.299
Cáceres;Total;Total;Hombres;5.581
Cáceres;Total;Total;Mujeres;5.718
Cáceres;Total;Españoles;Total;10.165
Cáceres;Total;Españoles;Hombres;5.001
Cáceres;Total;Españoles;Mujeres;5.164
Cáceres;Total;Extranjeros;Total;1.134
Cáceres;Total;Extranjeros;Hombres;580
Cáceres;Total;Extranjeros;Mujeres;554
Cáceres;A la misma provincia;Total;Total;4.517
Cáceres;A la misma provincia;Total;Hombres;2.180
Cáceres;A la misma provincia;Total;Mujeres;2.337
Cáceres;A la misma provincia;Españoles;Total;4.175
Cáceres;A la misma provincia;Españoles;Hombres;2.016
Cáceres;A la misma provincia;Españoles;Mujeres;2.159
Cáceres;A la misma provincia;Extranjeros;Total;342
Cáceres;A la misma provincia;Extranjeros;Hombres;164
Cáceres;A la misma provincia;Extranjeros;Mujeres;178
Cáceres;A otras provincias;Total;Total;6.782
Cáceres;A otras provincias;Total;Hombres;3.401
Cáceres;A otras provincias;Total;Mujeres;3.381
Cáceres;A otras provincias;Españoles;Total;5.990
Cáceres;A otras provincias;Españoles;Hombres;2.985
Cáceres;A otras provincias;Españoles;Mujeres;3.005
Cáceres;A otras provincias;Extranjeros;Total;792
Cáceres;A otras provincias;Extranjeros;Hombres;416
Cáceres;A otras provincias;Extranjeros;Mujeres;376
Cádiz;Total;Total;Total;27.466
Cádiz;Total;Total;Hombres;14.058
Cádiz;Total;Total;Mujeres;13.408
Cádiz;Total;Españoles;Total;24.549
Cádiz;Total;Españoles;Hombres;12.578
Cádiz;Total;Españoles;Mujeres;11.971
Cádiz;Total;Extranjeros;Total;2.917
Cádiz;Total;Extranjeros;Hombres;1.480
Cádiz;Total;Extranjeros;Mujeres;1.437
Cádiz;A la misma provincia;Total;Total;11.561
Cádiz;A la misma provincia;Total;Hombres;5.713
Cádiz;A la misma provincia;Total;Mujeres;5.848
Cádiz;A la misma provincia;Españoles;Total;10.651
Cádiz;A la misma provincia;Españoles;Hombres;5.260
Cádiz;A la misma provincia;Españoles;Mujeres;5.391
Cádiz;A la misma provincia;Extranjeros;Total;910
Cádiz;A la misma provincia;Extranjeros;Hombres;453
Cádiz;A la misma provincia;Extranjeros;Mujeres;457
Cádiz;A otras provincias;Total;Total;15.905
Cádiz;A otras provincias;Total;Hombres;8.345
Cádiz;A otras provincias;Total;Mujeres;7.560
Cádiz;A otras provincias;Españoles;Total;13.898
Cádiz;A otras provincias;Españoles;Hombres;7.318
Cádiz;A otras provincias;Españoles;Mujeres;6.580
Cádiz;A otras provincias;Extranjeros;Total;2.007
Cádiz;A otras provincias;Extranjeros;Hombres;1.027
Cádiz;A otras provincias;Extranjeros;Mujeres;980
Cantabria;Total;Total;Total;20.682
Cantabria;Total;Total;Hombres;10.155
Cantabria;Total;Total;Mujeres;10.527
Cantabria;Total;Españoles;Total;18.030
Cantabria;Total;Españoles;Hombres;8.909
Cantabria;Total;Españoles;Mujeres;9.121
Cantabria;Total;Extranjeros;Total;2.652
Cantabria;Total;Extranjeros;Hombres;1.246
Cantabria;Total;Extranjeros;Mujeres;1.406
Cantabria;A la misma provincia;Total;Total;13.349
Cantabria;A la misma provincia;Total;Hombres;6.506
Cantabria;A la misma provincia;Total;Mujeres;6.843
Cantabria;A la misma provincia;Españoles;Total;11.949
Cantabria;A la misma provincia;Españoles;Hombres;5.884
Cantabria;A la misma provincia;Españoles;Mujeres;6.065
Cantabria;A la misma provincia;Extranjeros;Total;1.400
Cantabria;A la misma provincia;Extranjeros;Hombres;622
Cantabria;A la misma provincia;Extranjeros;Mujeres;778
Cantabria;A otras provincias;Total;Total;7.333
Cantabria;A otras provincias;Total;Hombres;3.649
Cantabria;A otras provincias;Total;Mujeres;3.684
Cantabria;A otras provincias;Españoles;Total;6.081
Cantabria;A otras provincias;Españoles;Hombres;3.025
Cantabria;A otras provincias;Españoles;Mujeres;3.056
Cantabria;A otras provincias;Extranjeros;Total;1.252
Cantabria;A otras provincias;Extranjeros;Hombres;624
Cantabria;A otras provincias;Extranjeros;Mujeres;628
Castellón/Castelló;Total;Total;Total;17.718
Castellón/Castelló;Total;Total;Hombres;9.046
Castellón/Castelló;Total;Total;Mujeres;8.672
Castellón/Castelló;Total;Españoles;Total;12.915
Castellón/Castelló;Total;Españoles;Hombres;6.532
Castellón/Castelló;Total;Españoles;Mujeres;6.383
Castellón/Castelló;Total;Extranjeros;Total;4.803
Castellón/Castelló;Total;Extranjeros;Hombres;2.514
Castellón/Castelló;Total;Extranjeros;Mujeres;2.289
Castellón/Castelló;A la misma provincia;Total;Total;9.232
Castellón/Castelló;A la misma provincia;Total;Hombres;4.596
Castellón/Castelló;A la misma provincia;Total;Mujeres;4.636
Castellón/Castelló;A la misma provincia;Españoles;Total;7.190
Castellón/Castelló;A la misma provincia;Españoles;Hombres;3.621
Castellón/Castelló;A la misma provincia;Españoles;Mujeres;3.569
Castellón/Castelló;A la misma provincia;Extranjeros;Total;2.042
Castellón/Castelló;A la misma provincia;Extranjeros;Hombres;975
Castellón/Castelló;A la misma provincia;Extranjeros;Mujeres;1.067
Castellón/Castelló;A otras provincias;Total;Total;8.486
Castellón/Castelló;A otras provincias;Total;Hombres;4.450
Castellón/Castelló;A otras provincias;Total;Mujeres;4.036
Castellón/Castelló;A otras provincias;Españoles;Total;5.725
Castellón/Castelló;A otras provincias;Españoles;Hombres;2.911
Castellón/Castelló;A otras provincias;Españoles;Mujeres;2.814
Castellón/Castelló;A otras provincias;Extranjeros;Total;2.761
Castellón/Castelló;A otras provincias;Extranjeros;Hombres;1.539
Castellón/Castelló;A otras provincias;Extranjeros;Mujeres;1.222
Ciudad Real;Total;Total;Total;13.395
Ciudad Real;Total;Total;Hombres;6.710
Ciudad Real;Total;Total;Mujeres;6.685
Ciudad Real;Total;Españoles;Total;11.052
Ciudad Real;Total;Españoles;Hombres;5.532
Ciudad Real;Total;Españoles;Mujeres;5.520
Ciudad Real;Total;Extranjeros;Total;2.343
Ciudad Real;Total;Extranjeros;Hombres;1.178
Ciudad Real;Total;Extranjeros;Mujeres;1.165
Ciudad Real;A la misma provincia;Total;Total;4.945
Ciudad Real;A la misma provincia;Total;Hombres;2.448
Ciudad Real;A la misma provincia;Total;Mujeres;2.497
Ciudad Real;A la misma provincia;Españoles;Total;4.272
Ciudad Real;A la misma provincia;Españoles;Hombres;2.146
Ciudad Real;A la misma provincia;Españoles;Mujeres;2.126
Ciudad Real;A la misma provincia;Extranjeros;Total;673
Ciudad Real;A la misma provincia;Extranjeros;Hombres;302
Ciudad Real;A la misma provincia;Extranjeros;Mujeres;371
Ciudad Real;A otras provincias;Total;Total;8.450
Ciudad Real;A otras provincias;Total;Hombres;4.262
Ciudad Real;A otras provincias;Total;Mujeres;4.188
Ciudad Real;A otras provincias;Españoles;Total;6.780
Ciudad Real;A otras provincias;Españoles;Hombres;3.386
Ciudad Real;A otras provincias;Españoles;Mujeres;3.394
Ciudad Real;A otras provincias;Extranjeros;Total;1.670
Ciudad Real;A otras provincias;Extranjeros;Hombres;876
Ciudad Real;A otras provincias;Extranjeros;Mujeres;794
Córdoba;Total;Total;Total;15.811
Córdoba;Total;Total;Hombres;7.847
Córdoba;Total;Total;Mujeres;7.964
