Provincia de procedencia;Relación entre procedencia y destino;Nacionalidad;Sexo;Total
Córdoba;Total;Españoles;Total;14.034
Córdoba;Total;Españoles;Hombres;6.949
Córdoba;Total;Españoles;Mujeres;7.085
Córdoba;Total;Extranjeros;Total;1.777
Córdoba;Total;Extranjeros;Hombres;898
Córdoba;Total;Extranjeros;Mujeres;879
Córdoba;A la misma provincia;Total;Total;5.568
Córdoba;A la misma provincia;Total;Hombres;2.683
Córdoba;A la misma provincia;Total;Mujeres;2.885
Córdoba;A la misma provincia;Españoles;Total;5.245
Córdoba;A la misma provincia;Españoles;Hombres;2.535
Córdoba;A la misma provincia;Españoles;Mujeres;2.710
Córdoba;A la misma provincia;Extranjeros;Total;323
Córdoba;A la misma provincia;Extranjeros;Hombres;148
Córdoba;A la misma provincia;Extranjeros;Mujeres;175
Córdoba;A otras provincias;Total;Total;10.243
Córdoba;A otras provincias;Total;Hombres;5.164
Córdoba;A otras provincias;Total;Mujeres;5.079
Córdoba;A otras provincias;Españoles;Total;8.789
Córdoba;A otras provincias;Españoles;Hombres;4.414
Córdoba;A otras provincias;Españoles;Mujeres;4.375
Córdoba;A otras provincias;Extranjeros;Total;1.454
Córdoba;A otras provincias;Extranjeros;Hombres;750
Córdoba;A otras provincias;Extranjeros;Mujeres;704
Coruña, A;Total;Total;Total;32.566
Coruña, A;Total;Total;Hombres;16.141
Coruña, A;Total;Total;Mujeres;16.425
Coruña, A;Total;Españoles;Total;29.390
Coruña, A;Total;Españoles;Hombres;14.603
Coruña, A;Total;Españoles;Mujeres;14.787
Coruña, A;Total;Extranjeros;Total;3.176
Coruña, A;Total;Extranjeros;Hombres;1.538
Coruña, A;Total;Extranjeros;Mujeres;1.638
Coruña, A;A la misma provincia;Total;Total;21.249
Coruña, A;A la misma provincia;Total;Hombres;10.392
Coruña, A;A la misma provincia;Total;Mujeres;10.857
Coruña, A;A la misma provincia;Españoles;Total;19.640
Coruña, A;A la misma provincia;Españoles;Hombres;9.638
Coruña, A;A la misma provincia;Españoles;Mujeres;10.002
Coruña, A;A la misma provincia;Extranjeros;Total;1.609
Coruña, A;A la misma provincia;Extranjeros;Hombres;754
Coruña, A;A la misma provincia;Extranjeros;Mujeres;855
Coruña, A;A otras provincias;Total;Total;11.317
Coruña, A;A otras provincias;Total;Hombres;5.749
Coruña, A;A otras provincias;Total;Mujeres;5.568
Coruña, A;A otras provincias;Españoles;Total;9.750
Coruña, A;A otras provincias;Españoles;Hombres;4.965
Coruña, A;A otras provincias;Españoles;Mujeres;4.785
Coruña, A;A otras provincias;Extranjeros;Total;1.567
Coruña, A;A otras provincias;Extranjeros;Hombres;784
Coruña, A;A otras provincias;Extranjeros;Mujeres;783
Cuenca;Total;Total;Total;6.658
Cuenca;Total;Total;Hombres;3.374
Cuenca;Total;Total;Mujeres;3.284
Cuenca;Total;Españoles;Total;5.076
Cuenca;Total;Españoles;Hombres;2.550
Cuenca;Total;Españoles;Mujeres;2.526
Cuenca;Total;Extranjeros;Total;1.582
Cuenca;Total;Extranjeros;Hombres;824
Cuenca;Total;Extranjeros;Mujeres;758
Cuenca;A la misma provincia;Total;Total;1.936
Cuenca;A la misma provincia;Total;Hombres;1.004
Cuenca;A la misma provincia;Total;Mujeres;932
Cuenca;A la misma provincia;Españoles;Total;1.508
Cuenca;A la misma provincia;Españoles;Hombres;785
Cuenca;A la misma provincia;Españoles;Mujeres;723
Cuenca;A la misma provincia;Extranjeros;Total;428
Cuenca;A la misma provincia;Extranjeros;Hombres;219
Cuenca;A la misma provincia;Extranjeros;Mujeres;209
Cuenca;A otras provincias;Total;Total;4.722
Cuenca;A otras provincias;Total;Hombres;2.370
Cuenca;A otras provincias;Total;Mujeres;2.352
Cuenca;A otras provincias;Españoles;Total;3.568
Cuenca;A otras provincias;Españoles;Hombres;1.765
Cuenca;A otras provincias;Españoles;Mujeres;1.803
Cuenca;A otras provincias;Extranjeros;Total;1.154
Cuenca;A otras provincias;Extranjeros;Hombres;605
Cuenca;A otras provincias;Extranjeros;Mujeres;549
Gipuzkoa;Total;Total;Total;21.043
Gipuzkoa;Total;Total;Hombres;10.860
Gipuzkoa;Total;Total;Mujeres;10.183
Gipuzkoa;Total;Españoles;Total;14.853
Gipuzkoa;Total;Españoles;Hombres;7.528
Gipuzkoa;Total;Españoles;Mujeres;7.325
Gipuzkoa;Total;Extranjeros;Total;6.190
Gipuzkoa;Total;Extranjeros;Hombres;3.332
Gipuzkoa;Total;Extranjeros;Mujeres;2.858
Gipuzkoa;A la misma provincia;Total;Total;14.093
Gipuzkoa;A la misma provincia;Total;Hombres;7.208
Gipuzkoa;A la misma provincia;Total;Mujeres;6.885
Gipuzkoa;A la misma provincia;Españoles;Total;9.897
Gipuzkoa;A la misma provincia;Españoles;Hombres;5.000
Gipuzkoa;A la misma provincia;Españoles;Mujeres;4.897
Gipuzkoa;A la misma provincia;Extranjeros;Total;4.196
Gipuzkoa;A la misma provincia;Extranjeros;Hombres;2.208
Gipuzkoa;A la misma provincia;Extranjeros;Mujeres;1.988
Gipuzkoa;A otras provincias;Total;Total;6.950
Gipuzkoa;A otras provincias;Total;Hombres;3.652
Gipuzkoa;A otras provincias;Total;Mujeres;3.298
Gipuzkoa;A otras provincias;Españoles;Total;4.956
Gipuzkoa;A otras provincias;Españoles;Hombres;2.528
Gipuzkoa;A otras provincias;Españoles;Mujeres;2.428
Gipuzkoa;A otras provincias;Extranjeros;Total;1.994
Gipuzkoa;A otras provincias;Extranjeros;Hombres;1.124
Gipuzkoa;A otras provincias;Extranjeros;Mujeres;870
Girona;Total;Total;Total;31.230
Girona;Total;Total;Hombres;15.658
Girona;Total;Total;Mujeres;15.572
Girona;Total;Españoles;Total;22.397
Girona;Total;Españoles;Hombres;11.069
Girona;Total;Españoles;Mujeres;11.328
Girona;Total;Extranjeros;Total;8.833
Girona;Total;Extranjeros;Hombres;4.589
Girona;Total;Extranjeros;Mujeres;4.244
Girona;A la misma provincia;Total;Total;19.429
Girona;A la misma provincia;Total;Hombres;9.675
Girona;A la misma provincia;Total;Mujeres;9.754
Girona;A la misma provincia;Españoles;Total;14.332
Girona;A la misma provincia;Españoles;Hombres;7.133
Girona;A la misma provincia;Españoles;Mujeres;7.199
Girona;A la misma provincia;Extranjeros;Total;5.097
Girona;A la misma provincia;Extranjeros;Hombres;2.542
Girona;A la misma provincia;Extranjeros;Mujeres;2.555
Girona;A otras provincias;Total;Total;11.801
Girona;A otras provincias;Total;Hombres;5.983
Girona;A otras provincias;Total;Mujeres;5.818
Girona;A otras provincias;Españoles;Total;8.065
Girona;A otras provincias;Españoles;Hombres;3.936
Girona;A otras provincias;Españoles;Mujeres;4.129
Girona;A otras provincias;Extranjeros;Total;3.736
Girona;A otras provincias;Extranjeros;Hombres;2.047
Girona;A otras provincias;Extranjeros;Mujeres;1.689
Granada;Total;Total;Total;35.899
Granada;Total;Total;Hombres;17.873
Granada;Total;Total;Mujeres;18.026
Granada;Total;Españoles;Total;30.985
Granada;Total;Españoles;Hombres;15.142
Granada;Total;Españoles;Mujeres;15.843
Granada;Total;Extranjeros;Total;4.914
Granada;Total;Extranjeros;Hombres;2.731
Granada;Total;Extranjeros;Mujeres;2.183
Granada;A la misma provincia;Total;Total;21.715
Granada;A la misma provincia;Total;Hombres;10.575
Granada;A la misma provincia;Total;Mujeres;11.140
Granada;A la misma provincia;Españoles;Total;19.796
Granada;A la misma provincia;Españoles;Hombres;9.614
Granada;A la misma provincia;Españoles;Mujeres;10.182
Granada;A la misma provincia;Extranjeros;Total;1.919
Granada;A la misma provincia;Extranjeros;Hombres;961
Granada;A la misma provincia;Extranjeros;Mujeres;958
Granada;A otras provincias;Total;Total;14.184
Granada;A otras provincias;Total;Hombres;7.298
Granada;A otras provincias;Total;Mujeres;6.886
Granada;A otras provincias;Españoles;Total;11.189
Granada;A otras provincias;Españoles;Hombres;5.528
Granada;A otras provincias;Españoles;Mujeres;5.661
Granada;A otras provincias;Extranjeros;Total;2.995
Granada;A otras provincias;Extranjeros;Hombres;1.770
Granada;A otras provincias;Extranjeros;Mujeres;1.225
Guadalajara;Total;Total;Total;12.812
Guadalajara;Total;Total;Hombres;6.543
Guadalajara;Total;Total;Mujeres;6.269
Guadalajara;Total;Españoles;Total;9.780
Guadalajara;Total;Españoles;Hombres;4.992
Guadalajara;Total;Españoles;Mujeres;4.788
Guadalajara;Total;Extranjeros;Total;3.032
Guadalajara;Total;Extranjeros;Hombres;1.551
Guadalajara;Total;Extranjeros;Mujeres;1.481
Guadalajara;A la misma provincia;Total;Total;5.129
Guadalajara;A la misma provincia;Total;Hombres;2.562
Guadalajara;A la misma provincia;Total;Mujeres;2.567
Guadalajara;A la misma provincia;Españoles;Total;3.908
Guadalajara;A la misma provincia;Españoles;Hombres;1.976
Guadalajara;A la misma provincia;Españoles;Mujeres;1.932
Guadalajara;A la misma provincia;Extranjeros;Total;1.221
Guadalajara;A la misma provincia;Extranjeros;Hombres;586
Guadalajara;A la misma provincia;Extranjeros;Mujeres;635
Guadalajara;A otras provincias;Total;Total;7.683
Guadalajara;A otras provincias;Total;Hombres;3.981
Guadalajara;A otras provincias;Total;Mujeres;3.702
Guadalajara;A otras provincias;Españoles;Total;5.872
Guadalajara;A otras provincias;Españoles;Hombres;3.016
Guadalajara;A otras provincias;Españoles;Mujeres;2.856
Guadalajara;A otras provincias;Extranjeros;Total;1.811
Guadalajara;A otras provincias;Extranjeros;Hombres;965
Guadalajara;A otras provincias;Extranjeros;Mujeres;846
Huelva;Total;Total;Total;12.908
Huelva;Total;Total;Hombres;6.596
Huelva;Total;Total;Mujeres;6.312
Huelva;Total;Españoles;Total;10.476
Huelva;Total;Españoles;Hombres;5.299
Huelva;Total;Españoles;Mujeres;5.177
Huelva;Total;Extranjeros;Total;2.432
Huelva;Total;Extranjeros;Hombres;1.297
Huelva;Total;Extranjeros;Mujeres;1.135
Huelva;A la misma provincia;Total;Total;6.629
Huelva;A la misma provincia;Total;Hombres;3.336
Huelva;A la misma provincia;Total;Mujeres;3.293
Huelva;A la misma provincia;Españoles;Total;5.762
Huelva;A la misma provincia;Españoles;Hombres;2.938
Huelva;A la misma provincia;Españoles;Mujeres;2.824
Huelva;A la misma provincia;Extranjeros;Total;867
Huelva;A la misma provincia;Extranjeros;Hombres;398
Huelva;A la misma provincia;Extranjeros;Mujeres;469
Huelva;A otras provincias;Total;Total;6.279
Huelva;A otras provincias;Total;Hombres;3.260
Huelva;A otras provincias;Total;Mujeres;3.019
Huelva;A otras provincias;Españoles;Total;4.714
Huelva;A otras provincias;Españoles;Hombres;2.361
Huelva;A otras provincias;Españoles;Mujeres;2.353
Huelva;A otras provincias;Extranjeros;Total;1.565
Huelva;A otras provincias;Extranjeros;Hombres;899
Huelva;A otras provincias;Extranjeros;Mujeres;666
Huesca;Total;Total;Total;7.238
Huesca;Total;Total;Hombres;3.683
Huesca;Total;Total;Mujeres;3.555
Huesca;Total;Españoles;Total;5.554
Huesca;Total;Españoles;Hombres;2.772
Huesca;Total;Españoles;Mujeres;2.782
Huesca;Total;Extranjeros;Total;1.684
Huesca;Total;Extranjeros;Hombres;911
Huesca;Total;Extranjeros;Mujeres;773
Huesca;A la misma provincia;Total;Total;2.816
Huesca;A la misma provincia;Total;Hombres;1.419
Huesca;A la misma provincia;Total;Mujeres;1.397
Huesca;A la misma provincia;Españoles;Total;2.258
Huesca;A la misma provincia;Españoles;Hombres;1.133
Huesca;A la misma provincia;Españoles;Mujeres;1.125
Huesca;A la misma provincia;Extranjeros;Total;558
Huesca;A la misma provincia;Extranjeros;Hombres;286
Huesca;A la misma provincia;Extranjeros;Mujeres;272
Huesca;A otras provincias;Total;Total;4.422
Huesca;A otras provincias;Total;Hombres;2.264
Huesca;A otras provincias;Total;Mujeres;2.158
Huesca;A otras provincias;Españoles;Total;3.296
Huesca;A otras provincias;Españoles;Hombres;1.639
Huesca;A otras provincias;Españoles;Mujeres;1.657
Huesca;A otras provincias;Extranjeros;Total;1.126
Huesca;A otras provincias;Extranjeros;Hombres;625
Huesca;A otras provincias;Extranjeros;Mujeres;501
Jaén;Total;Total;Total;14.832
Jaén;Total;Total;Hombres;7.454
Jaén;Total;Total;Mujeres;7.378
Jaén;Total;Españoles;Total;13.161
Jaén;Total;Españoles;Hombres;6.448
Jaén;Total;Españoles;Mujeres;6.713
Jaén;Total;Extranjeros;Total;1.671
Jaén;Total;Extranjeros;Hombres;1.006
Jaén;Total;Extranjeros;Mujeres;665
Jaén;A la misma provincia;Total;Total;5.235
Jaén;A la misma provincia;Total;Hombres;2.633
Jaén;A la misma provincia;Total;Mujeres;2.602
Jaén;A la misma provincia;Españoles;Total;4.892
Jaén;A la misma provincia;Españoles;Hombres;2.447
Jaén;A la misma provincia;Españoles;Mujeres;2.445
Jaén;A la misma provincia;Extranjeros;Total;343
Jaén;A la misma provincia;Extranjeros;Hombres;186
Jaén;A la misma provincia;Extranjeros;Mujeres;157
Jaén;A otras provincias;Total;Total;9.597
Jaén;A otras provincias;Total;Hombres;4.821
Jaén;A otras provincias;Total;Mujeres;4.776
Jaén;A otras provincias;Españoles;Total;8.269
Jaén;A otras provincias;Españoles;Hombres;4.001
Jaén;A otras provincias;Españoles;Mujeres;4.268
Jaén;A otras provincias;Extranjeros;Total;1.328
Jaén;A otras provincias;Extranjeros;Hombres;820
Jaén;A otras provincias;Extranjeros;Mujeres;508
León;Total;Total;Total;16.394
León;Total;Total;Hombres;8.106
León;Total;Total;Mujeres;8.288
León;Total;Españoles;Total;14.575
León;Total;Españoles;Hombres;7.219
León;Total;Españoles;Mujeres;7.356
León;Total;Extranjeros;Total;1.819
León;Total;Extranjeros;Hombres;887
León;Total;Extranjeros;Mujeres;932
León;A la misma provincia;Total;Total;8.910
León;A la misma provincia;Total;Hombres;4.334
León;A la misma provincia;Total;Mujeres;4.576
León;A la misma provincia;Españoles;Total;8.165
León;A la misma provincia;Españoles;Hombres;3.999
León;A la misma provincia;Españoles;Mujeres;4.166
León;A la misma provincia;Extranjeros;Total;745
León;A la misma provincia;Extranjeros;Hombres;335
León;A la misma provincia;Extranjeros;Mujeres;410
León;A otras provincias;Total;Total;7.484
León;A otras provincias;Total;Hombres;3.772
León;A otras provincias;Total;Mujeres;3.712
León;A otras provincias;Españoles;Total;6.410
León;A otras provincias;Españoles;Hombres;3.220
León;A otras provincias;Españoles;Mujeres;3.190
León;A otras provincias;Extranjeros;Total;1.074
León;A otras provincias;Extranjeros;Hombres;552
León;A otras provincias;Extranjeros;Mujeres;522
Lleida;Total;Total;Total;15.851
Lleida;Total;Total;Hombres;8.385
Lleida;Total;Total;Mujeres;7.466
Lleida;Total;Españoles;Total;10.845
Lleida;Total;Españoles;Hombres;5.542
Lleida;Total;Españoles;Mujeres;5.303
Lleida;Total;Extranjeros;Total;5.006
Lleida;Total;Extranjeros;Hombres;2.843
Lleida;Total;Extranjeros;Mujeres;2.163
Lleida;A la misma provincia;Total;Total;7.962
Lleida;A la misma provincia;Total;Hombres;4.063
Lleida;A la misma provincia;Total;Mujeres;3.899
Lleida;A la misma provincia;Españoles;Total;5.768
Lleida;A la misma provincia;Españoles;Hombres;2.882
Lleida;A la misma provincia;Españoles;Mujeres;2.886
Lleida;A la misma provincia;Extranjeros;Total;2.194
Lleida;A la misma provincia;Extranjeros;Hombres;1.181
Lleida;A la misma provincia;Extranjeros;Mujeres;1.013
Lleida;A otras provincias;Total;Total;7.889
Lleida;A otras provincias;Total;Hombres;4.322
Lleida;A otras provincias;Total;Mujeres;3.567
Lleida;A otras provincias;Españoles;Total;5.077
Lleida;A otras provincias;Españoles;Hombres;2.660
Lleida;A otras provincias;Españoles;Mujeres;2.417
Lleida;A otras provincias;Extranjeros;Total;2.812
Lleida;A otras provincias;Extranjeros;Hombres;1.662
Lleida;A otras provincias;Extranjeros;Mujeres;1.150
Lugo;Total;Total;Total;8.535
Lugo;Total;Total;Hombres;4.165
Lugo;Total;Total;Mujeres;4.370
Lugo;Total;Españoles;Total;7.397
Lugo;Total;Españoles;Hombres;3.607
Lugo;Total;Españoles;Mujeres;3.790
Lugo;Total;Extranjeros;Total;1.138
Lugo;Total;Extranjeros;Hombres;558
Lugo;Total;Extranjeros;Mujeres;580
Lugo;A la misma provincia;Total;Total;3.984
Lugo;A la misma provincia;Total;Hombres;1.967
Lugo;A la misma provincia;Total;Mujeres;2.017
Lugo;A la misma provincia;Españoles;Total;3.578
Lugo;A la misma provincia;Españoles;Hombres;1.775
Lugo;A la misma provincia;Españoles;Mujeres;1.803
Lugo;A la misma provincia;Extranjeros;Total;406
Lugo;A la misma provincia;Extranjeros;Hombres;192
Lugo;A la misma provincia;Extranjeros;Mujeres;214
Lugo;A otras provincias;Total;Total;4.551
Lugo;A otras provincias;Total;Hombres;2.198
Lugo;A otras provincias;Total;Mujeres;2.353
Lugo;A otras provincias;Españoles;Total;3.819
Lugo;A otras provincias;Españoles;Hombres;1.832
Lugo;A otras provincias;Españoles;Mujeres;1.987
Lugo;A otras provincias;Extranjeros;Total;732
Lugo;A otras provincias;Extranjeros;Hombres;366
Lugo;A otras provincias;Extranjeros;Mujeres;366
Madrid;Total;Total;Total;208.127
Madrid;Total;Total;Hombres;102.554
Madrid;Total;Total;Mujeres;105.573
Madrid;Total;Españoles;Total;158.759
Madrid;Total;Españoles;Hombres;79.337
Madrid;Total;Españoles;Mujeres;79.422
Madrid;Total;Extranjeros;Total;49.368
Madrid;Total;Extranjeros;Hombres;23.217
Madrid;Total;Extranjeros;Mujeres;26.151
Madrid;A la misma provincia;Total;Total;133.758
Madrid;A la misma provincia;Total;Hombres;65.314
Madrid;A la misma provincia;Total;Mujeres;68.444
Madrid;A la misma provincia;Españoles;Total;101.728
Madrid;A la misma provincia;Españoles;Hombres;50.624
Madrid;A la misma provincia;Españoles;Mujeres;51.104
Madrid;A la misma provincia;Extranjeros;Total;32.030
Madrid;A la misma provincia;Extranjeros;Hombres;14.690
Madrid;A la misma provincia;Extranjeros;Mujeres;17.340
Madrid;A otras provincias;Total;Total;74.369
Madrid;A otras provincias;Total;Hombres;37.240
Madrid;A otras provincias;Total;Mujeres;37.129
Madrid;A otras provincias;Españoles;Total;57.031
Madrid;A otras provincias;Españoles;Hombres;28.713
Madrid;A otras provincias;Españoles;Mujeres;28.318
Madrid;A otras provincias;Extranjeros;Total;17.338
Madrid;A otras provincias;Extranjeros;Hombres;8.527
Madrid;A otras provincias;Extranjeros;Mujeres;8.811
Málaga;Total;Total;Total;49.480
Málaga;Total;Total;Hombres;24.776
Málaga;Total;Total;Mujeres;24.704
Málaga;Total;Españoles;Total;36.290
Málaga;Total;Españoles;Hombres;18.030
Málaga;Total;Españoles;Mujeres;18.260
Málaga;Total;Extranjeros;Total;13.190
Málaga;Total;Extranjeros;Hombres;6.746
Málaga;Total;Extranjeros;Mujeres;6.444
Málaga;A la misma provincia;Total;Total;30.049
Málaga;A la misma provincia;Total;Hombres;14.802
Málaga;A la misma provincia;Total;Mujeres;15.247
Málaga;A la misma provincia;Españoles;Total;22.577
Málaga;A la misma provincia;Españoles;Hombres;11.193
Málaga;A la misma provincia;Españoles;Mujeres;11.384
Málaga;A la misma provincia;Extranjeros;Total;7.472
Málaga;A la misma provincia;Extranjeros;Hombres;3.609
Málaga;A la misma provincia;Extranjeros;Mujeres;3.863
Málaga;A otras provincias;Total;Total;19.431
Málaga;A otras provincias;Total;Hombres;9.974
Málaga;A otras provincias;Total;Mujeres;9.457
Málaga;A otras provincias;Españoles;Total;13.713
Málaga;A otras provincias;Españoles;Hombres;6.837
Málaga;A otras provincias;Españoles;Mujeres;6.876
Málaga;A otras provincias;Extranjeros;Total;5.718
Málaga;A otras provincias;Extranjeros;Hombres;3.137
Málaga;A otras provincias;Extranjeros;Mujeres;2.581
Murcia;Total;Total;Total;37.947
Murcia;Total;Total;Hombres;19.599
Murcia;Total;Total;Mujeres;18.348
Murcia;Total;Españoles;Total;26.275
Murcia;Total;Españoles;Hombres;13.041
Murcia;Total;Españoles;Mujeres;13.234
Murcia;Total;Extranjeros;Total;11.672
Murcia;Total;Extranjeros;Hombres;6.558
Murcia;Total;Extranjeros;Mujeres;5.114
Murcia;A la misma provincia;Total;Total;20.961
Murcia;A la misma provincia;Total;Hombres;10.438
Murcia;A la misma provincia;Total;Mujeres;10.523
Murcia;A la misma provincia;Españoles;Total;15.596
Murcia;A la misma provincia;Españoles;Hombres;7.639
Murcia;A la misma provincia;Españoles;Mujeres;7.957
Murcia;A la misma provincia;Extranjeros;Total;5.365
Murcia;A la misma provincia;Extranjeros;Hombres;2.799
Murcia;A la misma provincia;Extranjeros;Mujeres;2.566
Murcia;A otras provincias;Total;Total;16.986
Murcia;A otras provincias;Total;Hombres;9.161
Murcia;A otras provincias;Total;Mujeres;7.825
Murcia;A otras provincias;Españoles;Total;10.679
Murcia;A otras provincias;Españoles;Hombres;5.402
Murcia;A otras provincias;Españoles;Mujeres;5.277
Murcia;A otras provincias;Extranjeros;Total;6.307
Murcia;A otras provincias;Extranjeros;Hombres;3.759
Murcia;A otras provincias;Extranjeros;Mujeres;2.548
Navarra;Total;Total;Total;23.253
Navarra;Total;Total;Hombres;11.804
Navarra;Total;Total;Mujeres;11.449
Navarra;Total;Españoles;Total;18.003
Navarra;Total;Españoles;Hombres;9.028
Navarra;Total;Españoles;Mujeres;8.975
Navarra;Total;Extranjeros;Total;5.250
Navarra;Total;Extranjeros;Hombres;2.776
Navarra;Total;Extranjeros;Mujeres;2.474
Navarra;A la misma provincia;Total;Total;16.381
Navarra;A la misma provincia;Total;Hombres;8.321
Navarra;A la misma provincia;Total;Mujeres;8.060
Navarra;A la misma provincia;Españoles;Total;12.802
Navarra;A la misma provincia;Españoles;Hombres;6.435
Navarra;A la misma provincia;Españoles;Mujeres;6.367
Navarra;A la misma provincia;Extranjeros;Total;3.579
Navarra;A la misma provincia;Extranjeros;Hombres;1.886
Navarra;A la misma provincia;Extranjeros;Mujeres;1.693
Navarra;A otras provincias;Total;Total;6.872
Navarra;A otras provincias;Total;Hombres;3.483
Navarra;A otras provincias;Total;Mujeres;3.389
Navarra;A otras provincias;Españoles;Total;5.201
Navarra;A otras provincias;Españoles;Hombres;2.593
Navarra;A otras provincias;Españoles;Mujeres;2.608
Navarra;A otras provincias;Extranjeros;Total;1.671
Navarra;A otras provincias;Extranjeros;Hombres;890
Navarra;A otras provincias;Extranjeros;Mujeres;781
Ourense;Total;Total;Total;11.711
Ourense;Total;Total;Hombres;5.626
Ourense;Total;Total;Mujeres;6.085
Ourense;Total;Españoles;Total;10.601
Ourense;Total;Españoles;Hombres;5.122
Ourense;Total;Españoles;Mujeres;5.479
Ourense;Total;Extranjeros;Total;1.110
Ourense;Total;Extranjeros;Hombres;504
Ourense;Total;Extranjeros;Mujeres;606
Ourense;A la misma provincia;Total;Total;6.819
Ourense;A la misma provincia;Total;Hombres;3.232
Ourense;A la misma provincia;Total;Mujeres;3.587
Ourense;A la misma provincia;Españoles;Total;6.373
Ourense;A la misma provincia;Españoles;Hombres;3.053
Ourense;A la misma provincia;Españoles;Mujeres;3.320
Ourense;A la misma provincia;Extranjeros;Total;446
Ourense;A la misma provincia;Extranjeros;Hombres;179
Ourense;A la misma provincia;Extranjeros;Mujeres;267
Ourense;A otras provincias;Total;Total;4.892
Ourense;A otras provincias;Total;Hombres;2.394
Ourense;A otras provincias;Total;Mujeres;2.498
Ourense;A otras provincias;Españoles;Total;4.228
Ourense;A otras provincias;Españoles;Hombres;2.069
Ourense;A otras provincias;Españoles;Mujeres;2.159
Ourense;A otras provincias;Extranjeros;Total;664
Ourense;A otras provincias;Extranjeros;Hombres;325
Ourense;A otras provincias;Extranjeros;Mujeres;339
Palencia;Total;Total;Total;4.686
Palencia;Total;Total;Hombres;2.337
Palencia;Total;Total;Mujeres;2.349
Palencia;Total;Españoles;Total;4.001
Palencia;Total;Españoles;Hombres;2.018
Palencia;Total;Españoles;Mujeres;1.983
Palencia;Total;Extranjeros;Total;685
Palencia;Total;Extranjeros;Hombres;319
Palencia;Total;Extranjeros;Mujeres;366
Palencia;A la misma provincia;Total;Total;2.063
Palencia;A la misma provincia;Total;Hombres;1.025
Palencia;A la misma provincia;Total;Mujeres;1.038
Palencia;A la misma provincia;Españoles;Total;1.822
